22-07-11 11:18:08.934 : Total parameters: 56.71
22-07-11 11:49:26.719 : Epoch[16/2000], Step[0/275], loss: 0.089, PSNR: 18.50
22-07-11 11:49:57.542 : Epoch[16/2000], Step[100/275], loss: 0.087, PSNR: 18.87
22-07-11 11:50:28.322 : Epoch[16/2000], Step[200/275], loss: 3.395, PSNR: 5.70
22-07-11 11:50:52.566 : Epoch[17/2000], Step[0/275], loss: 0.239, PSNR: 13.33
22-07-11 11:51:23.383 : Epoch[17/2000], Step[100/275], loss: 0.129, PSNR: 16.16
22-07-11 11:51:54.100 : Epoch[17/2000], Step[200/275], loss: 0.096, PSNR: 18.20
22-07-11 11:52:18.219 : Epoch[18/2000], Step[0/275], loss: 0.095, PSNR: 18.14
22-07-11 11:52:49.055 : Epoch[18/2000], Step[100/275], loss: 0.089, PSNR: 18.61
22-07-11 11:53:19.839 : Epoch[18/2000], Step[200/275], loss: 0.092, PSNR: 18.43
22-07-11 11:53:43.996 : Epoch[19/2000], Step[0/275], loss: 0.087, PSNR: 19.05
22-07-11 11:54:15.056 : Epoch[19/2000], Step[100/275], loss: 0.075, PSNR: 19.99
22-07-11 11:54:45.871 : Epoch[19/2000], Step[200/275], loss: 0.169, PSNR: 14.84
22-07-11 11:55:10.049 : Epoch[20/2000], Step[0/275], loss: 0.136, PSNR: 16.09
22-07-11 11:55:40.856 : Epoch[20/2000], Step[100/275], loss: 0.105, PSNR: 17.79
22-07-11 11:56:11.666 : Epoch[20/2000], Step[200/275], loss: 0.089, PSNR: 18.74
22-07-11 11:56:35.978 : Epoch[21/2000], Step[0/275], loss: 0.100, PSNR: 18.26
22-07-11 11:57:06.806 : Epoch[21/2000], Step[100/275], loss: 0.079, PSNR: 19.77
22-07-11 11:57:37.565 : Epoch[21/2000], Step[200/275], loss: 0.085, PSNR: 19.22
22-07-11 11:58:01.612 : Epoch[22/2000], Step[0/275], loss: 0.203, PSNR: 13.72
22-07-11 11:58:32.665 : Epoch[22/2000], Step[100/275], loss: 0.084, PSNR: 19.16
22-07-11 11:59:03.481 : Epoch[22/2000], Step[200/275], loss: 0.085, PSNR: 19.37
22-07-11 11:59:27.769 : Epoch[23/2000], Step[0/275], loss: 0.066, PSNR: 20.88
22-07-11 11:59:58.559 : Epoch[23/2000], Step[100/275], loss: 0.076, PSNR: 19.83
22-07-11 12:00:29.324 : Epoch[23/2000], Step[200/275], loss: 0.091, PSNR: 18.81
22-07-11 12:00:53.442 : Epoch[24/2000], Step[0/275], loss: 0.910, PSNR: 7.17
22-07-11 12:01:24.228 : Epoch[24/2000], Step[100/275], loss: 0.123, PSNR: 16.70
22-07-11 12:01:55.054 : Epoch[24/2000], Step[200/275], loss: 0.093, PSNR: 18.52
22-07-11 12:02:19.185 : Epoch[25/2000], Step[0/275], loss: 0.085, PSNR: 19.26
22-07-11 12:02:49.952 : Epoch[25/2000], Step[100/275], loss: 0.076, PSNR: 19.80
